[ 2026-09-18 10:39:22,567 ] 20 root - INFO - Initiate the data ingestion
[ 2026-09-18 10:39:43,503 ] 65 root - INFO - Performed train test split on the dataframe
[ 2026-09-18 10:39:43,503 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-09-18 10:39:43,504 ] 75 root - INFO - Exporting train and test file path.
[ 2026-09-18 10:39:43,776 ] 84 root - INFO - Exported train and test file path.
[ 2026-09-18 10:39:43,778 ] 22 root - INFO - Data Initiation Completed
[ 2026-09-18 10:39:43,874 ] 27 root - INFO - Initiate the data Validation
[ 2026-09-18 10:39:44,310 ] 32 root - INFO - Required number of columns:2
[ 2026-09-18 10:39:44,310 ] 33 root - INFO - Data frame has columns:31
[ 2026-09-18 10:39:44,311 ] 32 root - INFO - Required number of columns:2
[ 2026-09-18 10:39:44,311 ] 33 root - INFO - Data frame has columns:31
[ 2026-09-18 10:39:45,302 ] 29 root - INFO - data Validation Completed
[ 2026-09-18 10:39:45,305 ] 32 root - INFO - data Transformation started
[ 2026-09-18 10:39:45,305 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-09-18 10:39:45,306 ] 65 root - INFO - Starting data transformation
